DEF------->,probeCountTime-4_10,probeCountTime-3_10,weighted mean
purePeriodicRand-15,8184.547500000009,-891.4573333320404,-721.6165000000677,5652.1111925361065
purePeriodicRand-31,8209.765499999987,-430.3830166660826,-345.7665833332924,5796.053918877457
periodic-31,9004.997833333331,-430.32071666608243,-345.7919999999591,6368.8522398523955
periodic-15,8478.196625,-891.4377291653734,-721.5810833334011,5863.624733636992
purePeriodicRand-75,5776.521666666673,-177.05081666649335,-139.3546666666691,4112.558952136978
purePeriodic-46,4696.164666666653,-289.62571666633,-231.00541666664978,3303.701688589669
periodicRand-31,8717.032666666659,-430.3852999994159,-346.10433333329246,6161.411418857255
probeCountTime-2_250,8452.955875000001,-451.4767399971548,52.845750000030826,5981.057016486747
periodic-75,7640.106666666674,-177.06876666649336,-139.14233333333573,5454.852069447523
purePeriodic-23,7455.497999999957,-580.5230166658275,-468.29016666660016,5211.813035205614
probeCountTime-3_200,8002.3345,-578.0436833328265,-244.58733333360453,5614.6745227639685
purePeriodic-67,1636.7611666666653,-198.5005333331406,-156.74108333333203,1124.9545670596247
probeCountTime-2_150,8858.916258333333,-112.39628166116505,587.6588333338299,6375.649799547691
periodic-57,8603.13833333333,-233.3432666664299,-185.3326666666595,6133.134215580311
periodicRand-57,8105.850166666662,-233.3708833330967,-185.03541666665944,5774.95555604752
